t,x,y,couleur
0,13.9797,20.7145,bleu
0,13.9797,21.8369,bleu
0,13.9797,22.9594,bleu
0,13.9797,24.0819,bleu
0,13.9797,25.2043,bleu
0,13.9797,26.3268,bleu
0,13.9797,27.4492,bleu
0,13.9797,28.5717,bleu
0,13.9797,29.6942,bleu
0,13.9797,30.8166,bleu
0,13.9797,31.9391,bleu
0,13.9797,33.0616,bleu
0,13.9797,34.184,bleu
0,13.9797,35.3065,bleu
0,13.9797,36.4289,bleu
0,13.9797,37.5514,bleu
0,13.9797,38.6739,bleu
0,13.9797,39.7963,bleu
0,13.9797,40.9188,bleu
0,13.9797,42.0412,bleu
0,13.9797,43.1637,bleu
0,13.9797,44.2862,bleu
0,13.9797,45.4086,bleu
0,13.9797,46.5311,bleu
0,13.9797,47.6536,bleu
0,13.9797,48.776,bleu
0,15.1022,5,bleu
0,15.1022,6.12246,bleu
0,15.1022,7.24492,bleu
0,15.1022,8.36739,bleu
0,15.1022,9.48985,bleu
0,15.1022,10.6123,bleu
0,15.1022,11.7348,bleu
0,15.1022,12.8572,bleu
0,15.1022,13.9797,bleu
0,15.1022,15.1022,bleu
0,15.1022,16.2246,bleu
0,15.1022,17.3471,bleu
0,15.1022,18.4695,bleu
0,15.1022,19.592,bleu
0,15.1022,20.7145,bleu
0,15.1022,21.8369,bleu
0,15.1022,22.9594,bleu
0,15.1022,24.0819,bleu
0,15.1022,25.2043,bleu
0,15.1022,26.3268,bleu
0,15.1022,27.4492,bleu
0,15.1022,28.5717,bleu
0,15.1022,29.6942,bleu
0,15.1022,30.8166,bleu
0,15.1022,31.9391,bleu
0,15.1022,33.0616,bleu
0,15.1022,34.184,bleu
0,15.1022,35.3065,bleu
0,15.1022,36.4289,bleu
0,15.1022,37.5514,bleu
0,15.1022,38.6739,bleu
0,15.1022,39.7963,bleu
0,15.1022,40.9188,bleu
0,15.1022,42.0412,bleu
0,15.1022,43.1637,bleu
0,15.1022,44.2862,bleu
0,15.1022,45.4086,bleu
0,15.1022,46.5311,bleu
0,15.1022,47.6536,bleu
0,15.1022,48.776,bleu
0,16.2246,5,bleu
0,16.2246,6.12246,bleu
0,16.2246,7.24492,bleu
0,16.2246,8.36739,bleu
0,16.2246,9.48985,bleu
0,16.2246,10.6123,bleu
0,16.2246,11.7348,bleu
0,16.2246,12.8572,bleu
0,16.2246,13.9797,bleu
0,16.2246,15.1022,bleu
0,16.2246,16.2246,bleu
0,16.2246,17.3471,bleu
0,16.2246,18.4695,bleu
0,16.2246,19.592,bleu
0,16.2246,20.7145,bleu
0,16.2246,21.8369,bleu
0,16.2246,22.9594,bleu
0,16.2246,24.0819,bleu
0,16.2246,25.2043,bleu
0,16.2246,26.3268,bleu
0,16.2246,27.4492,bleu
0,16.2246,28.5717,bleu
0,16.2246,29.6942,bleu
0,16.2246,30.8166,bleu
0,16.2246,31.9391,bleu
0,16.2246,33.0616,bleu
0,16.2246,34.184,bleu
0,16.2246,35.3065,bleu
0,16.2246,36.4289,bleu
0,16.2246,37.5514,bleu
0,16.2246,38.6739,bleu
0,16.2246,39.7963,bleu
0,16.2246,40.9188,bleu
0,16.2246,42.0412,bleu
0,16.2246,43.1637,bleu
0,16.2246,44.2862,bleu
0,16.2246,45.4086,bleu
0,16.2246,46.5311,bleu
0,16.2246,47.6536,bleu
0,16.2246,48.776,bleu
0,17.3471,5,bleu
0,17.3471,6.12246,bleu
0,17.3471,7.24492,bleu
0,17.3471,8.36739,bleu
0,17.3471,9.48985,bleu
0,17.3471,10.6123,bleu
0,17.3471,11.7348,bleu
0,17.3471,12.8572,bleu
0,17.3471,13.9797,bleu
0,17.3471,15.1022,bleu
0,17.3471,16.2246,bleu
0,17.3471,17.3471,bleu
0,17.3471,18.4695,bleu
0,17.3471,19.592,bleu
0,17.3471,20.7145,bleu
0,17.3471,21.8369,bleu
0,17.3471,22.9594,bleu
0,17.3471,24.0819,bleu
0,17.3471,25.2043,bleu
0,17.3471,26.3268,bleu
0,17.3471,27.4492,bleu
0,17.3471,28.5717,bleu
0,17.3471,29.6942,bleu
0,17.3471,30.8166,bleu
0,17.3471,31.9391,bleu
0,17.3471,33.0616,bleu
0,17.3471,34.184,bleu
0,17.3471,35.3065,bleu
0,17.3471,36.4289,bleu
0,17.3471,37.5514,bleu
0,17.3471,38.6739,bleu
0,17.3471,39.7963,bleu
0,17.3471,40.9188,bleu
0,17.3471,42.0412,bleu
0,17.3471,43.1637,bleu
0,17.3471,44.2862,bleu
0,17.3471,45.4086,bleu
0,17.3471,46.5311,bleu
0,17.3471,47.6536,bleu
0,17.3471,48.776,bleu
0,18.4695,5,bleu
0,18.4695,6.12246,bleu
0,18.4695,7.24492,bleu
0,18.4695,8.36739,bleu
0,18.4695,9.48985,bleu
0,18.4695,10.6123,bleu
0,18.4695,11.7348,bleu
0,18.4695,12.8572,bleu
0,18.4695,13.9797,bleu
0,18.4695,15.1022,bleu
0,18.4695,16.2246,bleu
0,18.4695,17.3471,bleu
0,18.4695,18.4695,bleu
0,18.4695,19.592,bleu
0,18.4695,20.7145,bleu
0,18.4695,21.8369,bleu
0,18.4695,22.9594,bleu
0,18.4695,24.0819,bleu
0,18.4695,25.2043,bleu
0,18.4695,26.3268,bleu
0,18.4695,27.4492,bleu
0,18.4695,28.5717,bleu
0,18.4695,29.6942,bleu
0,18.4695,30.8166,bleu
0,18.4695,31.9391,bleu
0,18.4695,33.0616,bleu
0,18.4695,34.184,bleu
0,18.4695,35.3065,bleu
0,18.4695,36.4289,bleu
0,18.4695,37.5514,bleu
0,18.4695,38.6739,bleu
0,18.4695,39.7963,bleu
0,18.4695,40.9188,bleu
0,18.4695,42.0412,bleu
0,18.4695,43.1637,bleu
0,18.4695,44.2862,bleu
0,18.4695,45.4086,bleu
0,18.4695,46.5311,bleu
0,18.4695,47.6536,bleu
0,18.4695,48.776,bleu
0,19.592,5,bleu
0,19.592,6.12246,bleu
0,19.592,7.24492,bleu
0,19.592,8.36739,bleu
0,19.592,9.48985,bleu
0,19.592,10.6123,bleu
0,19.592,11.7348,bleu
0,19.592,12.8572,bleu
0,19.592,13.9797,bleu
0,19.592,15.1022,bleu
0,19.592,16.2246,bleu
0,19.592,17.3471,bleu
0,19.592,18.4695,bleu
0,19.592,19.592,bleu
0,19.592,20.7145,bleu
0,19.592,21.8369,bleu
0,19.592,22.9594,bleu
0,19.592,24.0819,bleu
0,19.592,25.2043,bleu
0,19.592,26.3268,bleu
0,19.592,27.4492,bleu
0,19.592,28.5717,bleu
0,19.592,29.6942,bleu
0,19.592,30.8166,bleu
0,19.592,31.9391,bleu
0,19.592,33.0616,bleu
0,19.592,34.184,bleu
0,19.592,35.3065,bleu
0,19.592,36.4289,bleu
0,19.592,37.5514,bleu
0,19.592,38.6739,bleu
0,19.592,39.7963,bleu
0,19.592,40.9188,bleu
0,19.592,42.0412,bleu
0,19.592,43.1637,bleu
0,19.592,44.2862,bleu
0,19.592,45.4086,bleu
0,19.592,46.5311,bleu
0,19.592,47.6536,bleu
0,19.592,48.776,bleu
0,20.7145,5,bleu
0,20.7145,6.12246,bleu
0,20.7145,7.24492,bleu
0,20.7145,8.36739,bleu
0,20.7145,9.48985,bleu
0,20.7145,10.6123,bleu
0,20.7145,11.7348,bleu
0,20.7145,12.8572,bleu
0,20.7145,13.9797,bleu
0,20.7145,15.1022,bleu
0,20.7145,16.2246,bleu
0,20.7145,17.3471,bleu
0,20.7145,18.4695,bleu
0,20.7145,19.592,bleu
0,20.7145,20.7145,bleu
0,20.7145,21.8369,bleu
0,20.7145,22.9594,bleu
0,20.7145,24.0819,bleu
0,20.7145,25.2043,bleu
0,20.7145,26.3268,bleu
0,20.7145,27.4492,bleu
0,20.7145,28.5717,bleu
0,20.7145,29.6942,bleu
0,20.7145,30.8166,bleu
0,20.7145,31.9391,bleu
0,20.7145,33.0616,bleu
0,20.7145,34.184,bleu
0,20.7145,35.3065,bleu
0,20.7145,36.4289,bleu
0,20.7145,37.5514,bleu
0,20.7145,38.6739,bleu
0,20.7145,39.7963,bleu
0,20.7145,40.9188,bleu
0,20.7145,42.0412,bleu
0,20.7145,43.1637,bleu
0,20.7145,44.2862,bleu
0,20.7145,45.4086,bleu
0,20.7145,46.5311,bleu
0,20.7145,47.6536,bleu
0,20.7145,48.776,bleu
0,21.8369,5,bleu
0,21.8369,6.12246,bleu
0,21.8369,7.24492,bleu
0,21.8369,8.36739,bleu
0,21.8369,9.48985,bleu
0,21.8369,10.6123,bleu
0,21.8369,11.7348,bleu
0,21.8369,12.8572,bleu
0,21.8369,13.9797,bleu
0,21.8369,15.1022,bleu
0,21.8369,16.2246,bleu
0,21.8369,17.3471,bleu
0,21.8369,18.4695,bleu
0,21.8369,19.592,bleu
0,21.8369,20.7145,bleu
0,21.8369,21.8369,bleu
0,21.8369,22.9594,bleu
0,21.8369,24.0819,bleu
0,21.8369,25.2043,bleu
0,21.8369,26.3268,bleu
0,21.8369,27.4492,bleu
0,21.8369,28.5717,bleu
0,21.8369,29.6942,bleu
0,21.8369,30.8166,bleu
0,21.8369,31.9391,bleu
0,21.8369,33.0616,bleu
0,21.8369,34.184,bleu
0,21.8369,35.3065,bleu
0,21.8369,36.4289,bleu
0,21.8369,37.5514,bleu
0,21.8369,38.6739,bleu
0,21.8369,39.7963,bleu
0,21.8369,40.9188,bleu
0,21.8369,42.0412,bleu
0,21.8369,43.1637,bleu
0,21.8369,44.2862,bleu
0,21.8369,45.4086,bleu
0,21.8369,46.5311,bleu
0,21.8369,47.6536,bleu
0,21.8369,48.776,bleu
0,22.9594,5,bleu
0,22.9594,6.12246,bleu
0,22.9594,7.24492,bleu
0,22.9594,8.36739,bleu
0,22.9594,9.48985,bleu
0,22.9594,10.6123,bleu
0,22.9594,11.7348,bleu
0,22.9594,12.8572,bleu
0,22.9594,13.9797,bleu
0,22.9594,15.1022,bleu
0,22.9594,16.2246,bleu
0,22.9594,17.3471,bleu
0,22.9594,18.4695,bleu
0,22.9594,19.592,bleu
0,22.9594,20.7145,bleu
0,22.9594,21.8369,bleu
0,22.9594,22.9594,bleu
0,22.9594,24.0819,bleu
0,22.9594,25.2043,bleu
0,22.9594,26.3268,bleu
0,22.9594,27.4492,bleu
0,22.9594,28.5717,bleu
0,22.9594,29.6942,bleu
0,22.9594,30.8166,bleu
0,22.9594,31.9391,bleu
0,22.9594,33.0616,bleu
0,22.9594,34.184,bleu
0,22.9594,35.3065,bleu
0,22.9594,36.4289,bleu
0,22.9594,37.5514,bleu
0,22.9594,38.6739,bleu
0,22.9594,39.7963,bleu
0,22.9594,40.9188,bleu
0,22.9594,42.0412,bleu
0,22.9594,43.1637,bleu
0,22.9594,44.2862,bleu
0,22.9594,45.4086,bleu
0,22.9594,46.5311,bleu
0,22.9594,47.6536,bleu
0,22.9594,48.776,bleu
0,24.0819,5,bleu
0,24.0819,6.12246,bleu
0,24.0819,7.24492,bleu
0,24.0819,8.36739,bleu
0,24.0819,9.48985,bleu
0,24.0819,10.6123,bleu
0,24.0819,11.7348,bleu
0,24.0819,12.8572,bleu
0,24.0819,13.9797,bleu
0,24.0819,15.1022,bleu
0,24.0819,16.2246,bleu
0,24.0819,17.3471,bleu
0,24.0819,18.4695,bleu
0,24.0819,19.592,bleu
0,24.0819,20.7145,bleu
0,24.0819,21.8369,bleu
0,24.0819,22.9594,bleu
0,24.0819,24.0819,bleu
0,24.0819,25.2043,bleu
0,24.0819,26.3268,bleu
0,24.0819,27.4492,bleu
0,24.0819,28.5717,bleu
0,24.0819,29.6942,bleu
0,24.0819,30.8166,bleu
0,24.0819,31.9391,bleu
0,24.0819,33.0616,bleu
0,24.0819,34.184,bleu
0,24.0819,35.3065,bleu
0,24.0819,36.4289,bleu
0,24.0819,37.5514,bleu
0,24.0819,38.6739,bleu
0,24.0819,39.7963,bleu
0,24.0819,40.9188,bleu
0,24.0819,42.0412,bleu
0,24.0819,43.1637,bleu
0,24.0819,44.2862,bleu
0,24.0819,45.4086,bleu
0,24.0819,46.5311,bleu
0,24.0819,47.6536,bleu
0,24.0819,48.776,bleu
0,25.2043,5,bleu
0,25.2043,6.12246,bleu
0,25.2043,7.24492,bleu
0,25.2043,8.36739,bleu
0,25.2043,9.48985,bleu
0,25.2043,10.6123,bleu
0,25.2043,11.7348,bleu
0,25.2043,12.8572,bleu
0,25.2043,13.9797,bleu
0,25.2043,15.1022,bleu
0,25.2043,16.2246,bleu
0,25.2043,17.3471,bleu
0,25.2043,18.4695,bleu
0,25.2043,19.592,bleu
0,25.2043,20.7145,bleu
0,25.2043,21.8369,bleu
0,25.2043,22.9594,bleu
0,25.2043,24.0819,bleu
0,25.2043,25.2043,bleu
0,25.2043,26.3268,bleu
0,25.2043,27.4492,bleu
0,25.2043,28.5717,bleu
0,25.2043,29.6942,bleu
0,25.2043,30.8166,bleu
0,25.2043,31.9391,bleu
0,25.2043,33.0616,bleu
0,25.2043,34.184,bleu
0,25.2043,35.3065,bleu
0,25.2043,36.4289,bleu
0,25.2043,37.5514,bleu
0,25.2043,38.6739,bleu
0,25.2043,39.7963,bleu
0,25.2043,40.9188,bleu
0,25.2043,42.0412,bleu
0,25.2043,43.1637,bleu
0,25.2043,44.2862,bleu
0,25.2043,45.4086,bleu
